trial_index,trial_time,response_arrow_start_angle,motion_direction,motion_coherence,estimate_x,estimate_y,reaction_time,raw_response_time,prior_std,prior_mean,subject_id,experiment_name,experiment_id,session_id,run_id
143,278.002442000026,NaN,235,0.12,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
144,279.835722999997,NaN,215,0.06,-2.06956459438092,-1.40246297266093,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
145,281.868934000027,NaN,225,0.06,-1.85361191517298,-1.67753475908213,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
146,283.818933000031,NaN,225,0.06,-1.18806509233682,-2.19965936825925,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
147,285.735401000013,NaN,225,0.12,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
148,287.635675000027,NaN,225,0.06,-2.26656851792828,-1.05483039088585,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
149,289.752024999994,NaN,225,0.12,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
150,291.635198000004,NaN,215,0.24,-1.85361191517298,-1.67753475908213,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
151,293.551887000038,NaN,215,0.06,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
152,295.485071000003,NaN,215,0.06,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
153,297.368356999999,NaN,215,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
154,299.334934000042,NaN,235,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
155,301.284832000034,NaN,205,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
156,303.151373000001,NaN,215,0.24,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
157,305.034713000001,NaN,225,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
158,306.851293000043,NaN,225,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
159,308.734496999998,NaN,215,0.06,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
160,310.58439199999,NaN,225,0.24,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
161,312.451029999997,NaN,225,0.06,-2.06956459438092,-1.40246297266093,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
162,314.267659000005,NaN,235,0.06,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
163,316.067546000006,NaN,225,0.12,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
164,317.900729000045,NaN,225,0.24,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
165,319.817379000015,NaN,225,0.24,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
166,321.684033000027,NaN,205,0.24,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
167,323.700508000038,NaN,225,0.24,-1.23181774178337,-2.17545973325817,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
168,325.717076000001,NaN,205,0.06,-2.30693746987971,-0.963348073162045,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
169,327.80038900004,NaN,225,0.12,-2.24502001792963,-1.09994778016743,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
170,329.916978000023,NaN,215,0.12,-1.91921272143954,-1.60206820387418,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
171,331.983567000018,NaN,235,0.24,-0.869493739570494,-2.34392419605407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
172,334.133513000037,NaN,215,0.12,-2.04110330571897,-1.44357102193938,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
173,336.083352999995,NaN,215,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
174,337.966646999994,NaN,225,0.24,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
175,339.849817999988,NaN,225,0.12,-1.44284736188658,-2.04161492213809,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
176,341.983089000045,NaN,215,0.06,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
177,343.933019999997,NaN,225,0.24,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
178,345.832936000021,NaN,225,0.06,-1.31782760525965,-2.12446002617503,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
179,347.999438000028,NaN,215,0.06,-2.12399272394532,-1.31858064168535,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
180,350.016065000033,NaN,215,0.06,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
181,351.966063000029,NaN,225,0.12,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
